Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Type
1000.0,2,2.0,Unfurnished,"Kailash Colony, Greater Kailash",1.0,15000000,Builder_Floor
1150.0,3,3.0,Semi-Furnished,"Kailash Colony, Greater Kailash",2.0,26000000,Builder_Floor
2000.0,4,4.0,Semi-Furnished,"Kailash Colony, Greater Kailash",2.0,38000000,Builder_Floor
1425.0,3,3.0,Semi-Furnished,Other,1.0,9300000,Builder_Floor
440.0,2,2.0,Unfurnished,Other,1.0,2700000,Apartment
1017.0,2,2.0,Furnished,Other,1.0,6500000,Builder_Floor
650.0,2,2.0,Semi-Furnished,Other,1.0,5800000,Apartment
950.0,3,2.0,Semi-Furnished,Other,1.0,5500000,Apartment
810.0,3,2.0,Semi-Furnished,"Yamuna Vihar, Shahdara",1.0,6000000,Builder_Floor
750.0,2,2.0,Unfurnished,Other,1.0,4500000,Builder_Floor
990.0,2,2.0,Semi-Furnished,Other,2.0,4100000,Builder_Floor
800.0,3,2.0,Semi-Furnished,Other,2.0,3800000,Builder_Floor
675.0,2,1.0,Unfurnished,Other,1.0,3300000,Apartment
558.0,2,1.0,Unfurnished,Other,1.0,2900000,Builder_Floor
445.0,2,1.0,Unfurnished,Other,1.0,2000000,Builder_Floor
360.0,2,1.0,Unfurnished,Other,1.0,1550000,Builder_Floor
1350.0,4,3.0,Semi-Furnished,Other,1.0,11300000,Builder_Floor
850.0,3,2.0,Semi-Furnished,Other,1.0,4500000,Builder_Floor
846.0,2,1.0,Unfurnished,Other,1.0,3300000,Apartment
1300.0,4,3.0,Furnished,Other,1.0,11500000,Builder_Floor
900.0,3,2.0,Semi-Furnished,Other,1.0,6000000,Builder_Floor
1050.0,3,2.0,Semi-Furnished,Other,1.0,9000000,Apartment
850.0,2,2.0,Furnished,Other,1.0,4500000,Builder_Floor
1650.0,4,3.0,Furnished,Other,1.0,14000000,Apartment
1150.0,2,2.0,Semi-Furnished,Other,1.0,7300000,Apartment
495.1394,1,1.0,Furnished,Other,1.0,1900000,Builder_Floor
1053.0,3,2.0,Furnished,Other,4.0,7000000,Builder_Floor
540.0,2,1.0,Furnished,"Yamuna Vihar, Shahdara",1.0,2700000,Apartment
747.0,2,2.0,Furnished,"Yamuna Vihar, Shahdara",1.0,6500000,Builder_Floor
720.0,2,1.0,Unfurnished,"Yamuna Vihar, Shahdara",1.0,4000000,Builder_Floor
376.7365,1,1.0,Semi-Furnished,"Yamuna Vihar, Shahdara",1.0,3000000,Apartment
1125.0,2,2.0,Unfurnished,"Yamuna Vihar, Shahdara",1.0,5000000,Builder_Floor
713.0,2,2.0,Semi-Furnished,"Yamuna Vihar, Shahdara",1.0,6000000,Builder_Floor
360.0,1,1.0,Unfurnished,"Yamuna Vihar, Shahdara",1.0,2500000,Builder_Floor
900.0,2,2.0,Semi-Furnished,"Yamuna Vihar, Shahdara",1.0,6500000,Apartment
713.0,3,1.0,Unfurnished,"Yamuna Vihar, Shahdara",1.0,8000000,Apartment
504.0,2,1.0,Furnished,"Yamuna Vihar, Shahdara",1.0,2700000,Builder_Floor
70.0,1,2.0,Unfurnished,"Yamuna Vihar, Shahdara",1.0,4500000,Apartment
850.0,3,2.0,Furnished,"Yamuna Vihar, Shahdara",1.0,5700000,Builder_Floor
2430.0,4,3.0,Furnished,"Yamuna Vihar, Shahdara",1.0,25000000,Builder_Floor
2970.0,7,4.0,Furnished,"Yamuna Vihar, Shahdara",1.0,26500000,Builder_Floor
2250.0,3,2.0,Furnished,"Yamuna Vihar, Shahdara",1.0,18500000,Builder_Floor
1500.0,5,3.0,Furnished,"Yamuna Vihar, Shahdara",1.0,30000000,Builder_Floor
1512.0,2,2.0,Furnished,"Yamuna Vihar, Shahdara",1.0,22000000,Builder_Floor
400.0,2,2.0,Furnished,Other,1.0,9000000,Builder_Floor
630.0,3,2.0,Furnished,"Yamuna Vihar, Shahdara",1.0,22500000,Builder_Floor
324.0,6,3.0,Furnished,"Yamuna Vihar, Shahdara",1.0,8700000,Builder_Floor
720.0,6,5.0,Furnished,"Yamuna Vihar, Shahdara",1.0,22000000,Builder_Floor
675.0,4,2.0,Furnished,"Yamuna Vihar, Shahdara",2.0,18500000,Builder_Floor
700.0,2,1.0,Furnished,"Yamuna Vihar, Shahdara",2.0,16000000,Builder_Floor
675.0,4,3.0,Furnished,"Yamuna Vihar, Shahdara",2.0,16000000,Builder_Floor
720.0,4,2.0,Furnished,"Yamuna Vihar, Shahdara",2.0,9000000,Builder_Floor
850.0,2,2.0,Furnished,Other,1.0,4500000,Builder_Floor
990.0,3,2.0,Unfurnished,Laxmi Nagar,1.0,4000000,Apartment
420.0,2,1.0,Semi-Furnished,Laxmi Nagar,1.0,2600000,Builder_Floor
450.0,2,1.0,Semi-Furnished,Laxmi Nagar,1.0,3500000,Builder_Floor
1000.0,2,2.0,Unfurnished,Laxmi Nagar,1.0,7500000,Apartment
900.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,7000000,Builder_Floor
800.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,4500000,Builder_Floor
720.0,3,3.0,Semi-Furnished,Laxmi Nagar,2.0,5500000,Builder_Floor
450.0,2,1.0,Semi-Furnished,Laxmi Nagar,2.0,2700000,Builder_Floor
675.0,2,2.0,Furnished,Laxmi Nagar,2.0,2400000,Builder_Floor
1700.0,4,3.0,Unfurnished,Laxmi Nagar,2.0,11500000,Builder_Floor
550.0,2,2.0,Unfurnished,Other,2.0,3600000,Builder_Floor
387.0,1,2.0,Unfurnished,Other,2.0,1700000,Builder_Floor
450.0,2,1.0,Unfurnished,Other,2.0,2500000,Apartment
900.0,4,2.0,Furnished,Laxmi Nagar,1.0,6600000,Builder_Floor
500.0,2,1.0,Semi-Furnished,Laxmi Nagar,1.0,3700000,Builder_Floor
441.0,2,1.0,Unfurnished,Other,1.0,3500000,Apartment
800.0,3,2.0,Semi-Furnished,Other,1.0,5400000,Builder_Floor
450.0,2,2.0,Semi-Furnished,Other,1.0,2550000,Builder_Floor
1000.0,3,3.0,Furnished,Other,1.0,12500000,Builder_Floor
715.0,2,2.0,Unfurnished,Laxmi Nagar,1.0,5600000,Apartment
600.0,2,2.0,Unfurnished,Laxmi Nagar,1.0,7000000,Builder_Floor
540.0,2,1.0,Unfurnished,Laxmi Nagar,1.0,3500000,Builder_Floor
312.0,4,4.0,Furnished,Other,1.0,35000000,Apartment
